original_file_name,id_A,id_B,sentence_count_A,sentence_count_B,level_A,level_B,collab_score_avg_A,collab_score_avg_B,fragment_count_A,fragment_count_B,fragment_count_all,fragments_A,fragments_B,fragments_all
,,,,,,,,,,,,Yes of course,,
,,,,,,,,,,,,In all the pharmacies in the United States,,
,,,,,,,,,,,,Yes,,
,,,,,,,,,,,,Take care,,
,,,,,,,,,,,,, Thank you so much uh for uh help me,
,,,,,,,,,,,,,Uh okay,
,,,,,,,,,,,,,, Thank you
,,,,,,,,,,,,,,Yes of course
,,,,,,,,,,,,,,In all the pharmacies in the United States
,,,,,,,,,,,,,,Thank you so much uh for uh help me
,,,,,,,,,,,,,,Uh okay
,,,,,,,,,,,,,,Yes
,,,,,,,,,,,,,,Take care
02268&02295_B.txt,A295,B268,5,9,1,1,4,4,2,2,4,,,
,,,,,,,,,,,, Thank you for coming,,
,,,,,,,,,,,,Call now, 999999,,
,,,,,,,,,,,,, Call now and buy it,
,,,,,,,,,,,,,Thank you very much,
,,,,,,,,,,,,,, Call now and buy it
,,,,,,,,,,,,,,Thank you for coming
,,,,,,,,,,,,,,Thank you very much
,,,,,,,,,,,,,,Call now, 999999
02269&02092_B.txt,A092,B269,12,16,1,1,4,4,6,4,10,,,
,,,,,,,,,,,, And what the flash uh effective?,,
,,,,,,,,,,,,Hello B,,
,,,,,,,,,,,,Okay thank you B,,
,,,,,,,,,,,,What the technical of the camera Canon?,,
,,,,,,,,,,,,No,,
,,,,,,,,,,,,Really?,,
,,,,,,,,,,,,, Yeah yeah,
,,,,,,,,,,,,,You're welcome,
,,,,,,,,,,,,,Uh yes I sure about my information,
,,,,,,,,,,,,,Excuse me?,
,,,,,,,,,,,,,, And what the flash uh effective?
,,,,,,,,,,,,,,Hello B
,,,,,,,,,,,,,,Okay thank you B
,,,,,,,,,,,,,,Uh yes I sure about my information
,,,,,,,,,,,,,,You're welcome
,,,,,,,,,,,,,,What the technical of the camera Canon?
,,,,,,,,,,,,,,No
,,,,,,,,,,,,,,Excuse me?
,,,,,,,,,,,,,,Yeah yeah
,,,,,,,,,,,,,,Really?
02274&02070_A.txt,A274,B070,25,22,1,1,3,3,3,7,10,,,
,,,,,,,,,,,, Oh uh,,
,,,,,,,,,,,,Bye,,
,,,,,,,,,,,,Why?,,
,,,,,,,,,,,,, Yeah,
,,,,,,,,,,,,,Thank you welcome,
,,,,,,,,,,,,,See you,
,,,,,,,,,,,,,Yeah yeah like that,
,,,,,,,,,,,,,Why you smoking?,
,,,,,,,,,,,,,Yeah of course,
,,,,,,,,,,,,,No,
,,,,,,,,,,,,,, Yeah
,,,,,,,,,,,,,,Why?
,,,,,,,,,,,,,,Thank you welcome
,,,,,,,,,,,,,,See you
,,,,,,,,,,,,,,Yeah yeah like that
,,,,,,,,,,,,,,Oh uh
,,,,,,,,,,,,,,Why you smoking?
,,,,,,,,,,,,,,Bye
,,,,,,,,,,,,,,Yeah of course
,,,,,,,,,,,,,,No
02282&02275_B.txt,A282,B275,11,11,1,1,3,3,4,4,8,,,
,,,,,,,,,,,, Thank you,,
,,,,,,,,,,,,Meet you too,,
,,,,,,,,,,,,Uh-huh uh the target uh uh audience uh is uh a greoup of uh customers uh male and female,,
,,,,,,,,,,,,Bye,,
,,,,,,,,,,,,, Welcome,
,,,,,,,,,,,,,That's great,
,,,,,,,,,,,,,Nice to meet you,
,,,,,,,,,,,,,Thanks for your information,
,,,,,,,,,,,,,, Thank you
,,,,,,,,,,,,,,Welcome
,,,,,,,,,,,,,,Nice to meet you
,,,,,,,,,,,,,,Uh-huh uh the target uh uh audience uh is uh a greoup of uh customers uh male and female
,,,,,,,,,,,,,,Meet you too
,,,,,,,,,,,,,,That's great
,,,,,,,,,,,,,,Bye
,,,,,,,,,,,,,,Thanks for your information
02291&02466_B.txt,A466,B291,4,5,1,1,3,3,1,0,1,,,
,,,,,,,,,,,, Thank you,,
,,,,,,,,,,,,,, Thank you
02321&02243_A.txt,A321,B243,11,14,1,1,4,4,1,2,3,,,
,,,,,,,,,,,, What,,
,,,,,,,,,,,,, Oh my god,
,,,,,,,,,,,,,Wait wait A, wait,
,,,,,,,,,,,,,, Oh my god
,,,,,,,,,,,,,,Wait wait A, wait
,,,,,,,,,,,,,,What
02325&02254_A.txt,A254,B325,12,22,1,1,4,4,5,1,6,,,
,,,,,,,,,,,, Oh, how much that?,,
,,,,,,,,,,,,Oh uh ca-uh and what about your memory cards?,,
,,,,,,,,,,,,How many pixels?,,
,,,,,,,,,,,,How?,,
,,,,,,,,,,,,Oh, thank you Sony,,
,,,,,,,,,,,,, You're welcome,
,,,,,,,,,,,,,, Oh, how much that?
,,,,,,,,,,,,,,Oh uh ca-uh and what about your memory cards?
,,,,,,,,,,,,,,How many pixels?
,,,,,,,,,,,,,,How?
,,,,,,,,,,,,,,You're welcome
,,,,,,,,,,,,,,Oh, thank you Sony
02328&02324_A.txt,A328,B324,0,0,1,1,3,3,0,0,0,,,
02330&02312_B.txt,A312,B330,9,11,1,1,3,3,4,2,6,,,
,,,,,,,,,,,, Yeah uh,,
,,,,,,,,,,,,Uh-huh,,
,,,,,,,,,,,,Yeah,,
,,,,,,,,,,,,One cigarette a day?,,
,,,,,,,,,,,,, Yeah one packet in one day,
,,,,,,,,,,,,,And they and the they one time two time,
,,,,,,,,,,,,,, Yeah
,,,,,,,,,,,,,,Uh-huh
,,,,,,,,,,,,,,One cigarette a day?
,,,,,,,,,,,,,,And they and the they one time two time
,,,,,,,,,,,,,,Yeah one packet in one day
,,,,,,,,,,,,,,Yeah uh
02339&02294_A.txt,A294,B339,11,8,1,1,4,4,4,1,5,,,
,,,,,,,,,,,, This tablet for,,
,,,,,,,,,,,,Champix,,
,,,,,,,,,,,,Ugh,,
,,,,,,,,,,,,No,,
,,,,,,,,,,,,, Quit smoking,
,,,,,,,,,,,,,, Ugh
,,,,,,,,,,,,,,This tablet for
,,,,,,,,,,,,,,Champix
,,,,,,,,,,,,,,Quit smoking
,,,,,,,,,,,,,,No
02351&02482_A.txt,A482,B351,6,3,1,1,3,3,1,0,1,,,
,,,,,,,,,,,, Thank you,,
,,,,,,,,,,,,,, Thank you
02357&02538_A.txt,A538,B357,14,12,1,1,3,3,3,1,4,,,
,,,,,,,,,,,, Thank you very much,,
,,,,,,,,,,,,Okay,,
,,,,,,,,,,,,Uh hi B,,
,,,,,,,,,,,,, Uh hi A,
,,,,,,,,,,,,,, Thank you very much
,,,,,,,,,,,,,,Okay
,,,,,,,,,,,,,,Uh hi A
,,,,,,,,,,,,,,Uh hi B
02359&02549_C.txt,A549,B359,17,10,1,1,3,4,5,1,6,,,
,,,,,,,,,,,, Yes the picture of a camera, maybe uh camera advertisement,,
,,,,,,,,,,,,Uh how about picture four?,,
,,,,,,,,,,,,It's milk,,
,,,,,,,,,,,,Camera,,
,,,,,,,,,,,,Yeah me too agree with you,,
,,,,,,,,,,,,, Take some picture about nature and,
,,,,,,,,,,,,,, Yes the picture of a camera, maybe uh camera advertisement
,,,,,,,,,,,,,,Uh how about picture four?
,,,,,,,,,,,,,,It's milk
,,,,,,,,,,,,,,Camera
,,,,,,,,,,,,,,Yeah me too agree with you
,,,,,,,,,,,,,,Take some picture about nature and
02365&02553_A.txt,A365,B553,15,11,1,1,3,3,3,5,8,,,
,,,,,,,,,,,, Don't,,
,,,,,,,,,,,,Uh okay,,
,,,,,,,,,,,,Let's go to buy that,,
,,,,,,,,,,,,, Let's buy this drink,
,,,,,,,,,,,,,It's good,
,,,,,,,,,,,,,Don't fade accer,
,,,,,,,,,,,,,Uh in front of you,
,,,,,,,,,,,,,Don't NTA us,
,,,,,,,,,,,,,, Let's buy this drink
,,,,,,,,,,,,,,Let's go to buy that
,,,,,,,,,,,,,,Don't
,,,,,,,,,,,,,,It's good
,,,,,,,,,,,,,,Don't fade accer
,,,,,,,,,,,,,,Uh okay
,,,,,,,,,,,,,,Uh in front of you
,,,,,,,,,,,,,,Don't NTA us
02371&02256_A.txt,A256,B371,11,10,1,1,4,4,1,0,1,,,
,,,,,,,,,,,, Thank you,,
,,,,,,,,,,,,,, Thank you
02372&02373_A.txt,A373,B372,24,26,1,1,3,3,9,3,12,,,
,,,,,,,,,,,, Uh good morning,,
,,,,,,,,,,,,You too,,
,,,,,,,,,,,,Okay okay nice,,
,,,,,,,,,,,,Oh, oh today is a surprise,,
,,,,,,,,,,,,This advertising what?,,
,,,,,,,,,,,,Oh oh, what uh what the mean, what this uh uh scale the camera?,,
,,,,,,,,,,,,Good good idea, it the camera,,
,,,,,,,,,,,,Okay, the be-uh print the paper?,,
,,,,,,,,,,,,Oh,,
,,,,,,,,,,,,, Uh,
,,,,,,,,,,,,,Good morning,
,,,,,,,,,,,,,Oh oh very nice about you,
,,,,,,,,,,,,,, Oh oh very nice about you
,,,,,,,,,,,,,,Uh good morning
,,,,,,,,,,,,,,You too
,,,,,,,,,,,,,,Uh
,,,,,,,,,,,,,,Okay okay nice
,,,,,,,,,,,,,,Oh, oh today is a surprise
,,,,,,,,,,,,,,This advertising what?
,,,,,,,,,,,,,,Good morning
,,,,,,,,,,,,,,Oh oh, what uh what the mean, what this uh uh scale the camera?
,,,,,,,,,,,,,,Good good idea, it the camera
,,,,,,,,,,,,,,Okay, the be-uh print the paper?
,,,,,,,,,,,,,,Oh
02390&02557_A.txt,A390,B557,14,13,1,1,3,3,3,2,5,,,
,,,,,,,,,,,, Thanks,,
,,,,,,,,,,,,Yeah,,
,,,,,,,,,,,,Uh okay,,
,,,,,,,,,,,,, Two hundred dollars?,
,,,,,,,,,,,,,Uh… uh how much uh did uh about this camera?,
,,,,,,,,,,,,,, Yeah
,,,,,,,,,,,,,,Two hundred dollars?
,,,,,,,,,,,,,,Uh… uh how much uh did uh about this camera?
,,,,,,,,,,,,,,Uh okay
,,,,,,,,,,,,,,Thanks
02392&02193_A.txt,A392,B193,11,13,1,1,2,2,2,3,5,,,
,,,,,,,,,,,, Thank you,,
,,,,,,,,,,,,Okay,,
,,,,,,,,,,,,, Yeah yeah Sony uh made in in Japan,
,,,,,,,,,,,,,Uh and uh,
,,,,,,,,,,,,,Yeah you ca-you ca- uh with cover?,
,,,,,,,,,,,,,, Thank you
,,,,,,,,,,,,,,Yeah you ca-you ca- uh with cover?
,,,,,,,,,,,,,,Okay
,,,,,,,,,,,,,,Yeah yeah Sony uh made in in Japan
,,,,,,,,,,,,,,Uh and uh
02094&02398_A.txt,A398,B094,10,6,1,1,2,2,2,2,4,,,
,,,,,,,,,,,, Okay,,
,,,,,,,,,,,,Okay,,
,,,,,,,,,,,,, That's all,
,,,,,,,,,,,,,Twenty seconds, twenty seconds,
,,,,,,,,,,,,,, That's all
,,,,,,,,,,,,,,Okay
,,,,,,,,,,,,,,Okay
,,,,,,,,,,,,,,Twenty seconds, twenty seconds
02402&02496_C.txt,A402,B496,7,7,1,1,4,4,0,1,1,,,
,,,,,,,,,,,,, Uh uh first the reason,
,,,,,,,,,,,,,, Uh uh first the reason
02429&02117_A.txt,A117,B429,27,25,1,1,3,3,8,9,15,,,
,,,,,,,,,,,, Oh really?,,
,,,,,,,,,,,,Goodbye,,
,,,,,,,,,,,,NTA,,
,,,,,,,,,,,,Uh,,
,,,,,,,,,,,,Okay,,
,,,,,,,,,,,,Hi,,
,,,,,,,,,,,,Okay sure,,
,,,,,,,,,,,,More than,,
,,,,,,,,,,,,, Hmm six zoom,
,,,,,,,,,,,,,Yeah,
,,,,,,,,,,,,,Uh sure,
,,,,,,,,,,,,,Okay,
,,,,,,,,,,,,,Hi,
,,,,,,,,,,,,,Goodbye,
,,,,,,,,,,,,,And uh,
,,,,,,,,,,,,,Oh thank you so much,
,,,,,,,,,,,,,More than uh six zoom and and out,
,,,,,,,,,,,,,, Oh really?
,,,,,,,,,,,,,,Hmm six zoom
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,Uh sure
,,,,,,,,,,,,,,Goodbye
,,,,,,,,,,,,,,NTA
,,,,,,,,,,,,,,Uh
,,,,,,,,,,,,,,Okay
,,,,,,,,,,,,,,Hi
,,,,,,,,,,,,,,Goodbye
,,,,,,,,,,,,,,Oh thank you so much
,,,,,,,,,,,,,,And uh
,,,,,,,,,,,,,,Okay sure
,,,,,,,,,,,,,,More than
,,,,,,,,,,,,,,More than uh six zoom and and out
02460&02537_A.txt,A537,B460,14,13,1,1,4,4,3,3,6,,,
,,,,,,,,,,,, Look at uh this picture,,
,,,,,,,,,,,,Yeah, very right,,
,,,,,,,,,,,,Hi, good morning,,
,,,,,,,,,,,,, Good morning, doctor,
,,,,,,,,,,,,,Uh how about result of my health?,
,,,,,,,,,,,,,So okay,
,,,,,,,,,,,,,, Uh how about result of my health?
,,,,,,,,,,,,,,So okay
,,,,,,,,,,,,,,Look at uh this picture
,,,,,,,,,,,,,,Yeah, very right
,,,,,,,,,,,,,,Hi, good morning
,,,,,,,,,,,,,,Good morning, doctor
02478&02226_C.txt,A226,B478,14,13,1,1,4,4,3,7,10,,,
,,,,,,,,,,,, Hi B,,
,,,,,,,,,,,,Thank you very much Miss Laura,,
,,,,,,,,,,,,Yeah,,
,,,,,,,,,,,,, Yeah uh sure,
,,,,,,,,,,,,,Hi A,
,,,,,,,,,,,,,How about you?,
,,,,,,,,,,,,,What about you?,
,,,,,,,,,,,,,Uh this picture about uh more vitamin about for the body, uh,
,,,,,,,,,,,,,Okay,
,,,,,,,,,,,,,Thank you miss,
,,,,,,,,,,,,,, Yeah uh sure
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,Thank you very much Miss Laura
,,,,,,,,,,,,,,Hi A
,,,,,,,,,,,,,,How about you?
,,,,,,,,,,,,,,What about you?
,,,,,,,,,,,,,,Hi B
,,,,,,,,,,,,,,Uh this picture about uh more vitamin about for the body, uh
,,,,,,,,,,,,,,Okay
,,,,,,,,,,,,,,Thank you miss
02491&02408_B.txt,A491,B408,7,5,1,1,3,3,0,0,0,,,
02520&02490_A.txt,A490,B520,15,13,1,1,4,4,1,3,4,,,
,,,,,,,,,,,, Hi B,,
,,,,,,,,,,,,, Hi A,
,,,,,,,,,,,,,Oh, what kind of the disease?,
,,,,,,,,,,,,,try this gum,
,,,,,,,,,,,,,, Hi B
,,,,,,,,,,,,,,Hi A
,,,,,,,,,,,,,,Oh, what kind of the disease?
,,,,,,,,,,,,,,try this gum
02521&02290_A.txt,A521,B290,18,18,1,1,3,3,0,3,3,,,
,,,,,,,,,,,,, Hi,
,,,,,,,,,,,,,I know,
,,,,,,,,,,,,,Okay,
,,,,,,,,,,,,,, Hi
,,,,,,,,,,,,,,I know
,,,,,,,,,,,,,,Okay
02523&02458_C.txt,A458,B523,3,7,1,1,4,3,0,0,0,,,
02541&02066_B.txt,A066,B541,22,22,1,1,4,4,8,7,13,,,
,,,,,,,,,,,, Thank you,,
,,,,,,,,,,,,Yeah the same to you,,
,,,,,,,,,,,,Yeah,,
,,,,,,,,,,,,Uh-huh Great yeah great,,
,,,,,,,,,,,,Uh-huh,,
,,,,,,,,,,,,Uh-huh?,,
,,,,,,,,,,,,Okay thank you,,
,,,,,,,,,,,,Really?,,
,,,,,,,,,,,,, Yeah,
,,,,,,,,,,,,,Try them,
,,,,,,,,,,,,,Very cheap,
,,,,,,,,,,,,,Okay,
,,,,,,,,,,,,,Yeah very cheap,
,,,,,,,,,,,,,Really?,
,,,,,,,,,,,,,Sorry?,
,,,,,,,,,,,,,, Thank you
,,,,,,,,,,,,,,Yeah the same to you
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,Uh-huh Great yeah great
,,,,,,,,,,,,,,Try them
,,,,,,,,,,,,,,Uh-huh
,,,,,,,,,,,,,,Very cheap
,,,,,,,,,,,,,,Okay
,,,,,,,,,,,,,,Uh-huh?
,,,,,,,,,,,,,,Yeah very cheap
,,,,,,,,,,,,,,Okay thank you
,,,,,,,,,,,,,,Really?
,,,,,,,,,,,,,,Sorry?
02547&02152_A.txt,A152,B547,13,8,1,1,3,3,1,1,2,,,
,,,,,,,,,,,, No, never,,
,,,,,,,,,,,,, Yeah, uh okay thank you so much,
,,,,,,,,,,,,,, Yeah, uh okay thank you so much
,,,,,,,,,,,,,,No, never
02570&02199_B.txt,A570,B199,14,14,1,1,4,4,4,4,8,,,
,,,,,,,,,,,, James? Oh okay he uh shy maybe,,
,,,,,,,,,,,,Yeah,,
,,,,,,,,,,,,Okay, bye bye,,
,,,,,,,,,,,,And uh let's go to buy it,,
,,,,,,,,,,,,, Okay thank you,
,,,,,,,,,,,,,Let's go to buy right now,
,,,,,,,,,,,,,Bye,
,,,,,,,,,,,,,Okay,
,,,,,,,,,,,,,, Yeah
,,,,,,,,,,,,,,Let's go to buy right now
,,,,,,,,,,,,,,Okay
,,,,,,,,,,,,,,James? Oh okay he uh shy maybe
,,,,,,,,,,,,,,Bye
,,,,,,,,,,,,,,Okay thank you
,,,,,,,,,,,,,,Okay, bye bye
,,,,,,,,,,,,,,And uh let's go to buy it
03148&03543_S.txt,A543,B148,13,12,1,1,4,4,0,4,4,,,
,,,,,,,,,,,,, Thank you,
,,,,,,,,,,,,,Yeah to keep his life,
,,,,,,,,,,,,,Yeah,
,,,,,,,,,,,,,Ok,
,,,,,,,,,,,,,, Thank you
,,,,,,,,,,,,,,Yeah to keep his life
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,Ok
03191&03151_S.txt,A191,B151,10,10,1,1,3,3,2,3,5,,,
,,,,,,,,,,,, Ok,,
,,,,,,,,,,,,Ok thank you,,
,,,,,,,,,,,,, Thank you,
,,,,,,,,,,,,,Yeah,
,,,,,,,,,,,,,Yeah tell him,
,,,,,,,,,,,,,, Thank you
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,Ok thank you
,,,,,,,,,,,,,,Ok
,,,,,,,,,,,,,,Yeah tell him
03192&03022_S.txt,A022,B192,12,9,1,1,4,4,2,1,3,,,
,,,,,,,,,,,, Yeah,,
,,,,,,,,,,,,Let's tell him the truth,,
,,,,,,,,,,,,, So let's tell him the truth,
,,,,,,,,,,,,,, Yeah
,,,,,,,,,,,,,,Let's tell him the truth
,,,,,,,,,,,,,,So let's tell him the truth
03297&03234_S.txt,A297,B234,6,5,1,1,4,4,0,0,0,,,
03343&03394_S.txt,A394,B343,10,11,1,1,3,3,3,1,4,,,
,,,,,,,,,,,, Yeah,,
,,,,,,,,,,,,It's lie?,,
,,,,,,,,,,,,Of course depends on,,
,,,,,,,,,,,,, Oh,
,,,,,,,,,,,,,, Yeah
,,,,,,,,,,,,,,It's lie?
,,,,,,,,,,,,,,Oh
,,,,,,,,,,,,,,Of course depends on
03410&03433_S.txt,A433,B410,13,14,1,1,3,3,3,5,8,,,
,,,,,,,,,,,, Ok,,
,,,,,,,,,,,,Ah ok,,
,,,,,,,,,,,,How about you?,,
,,,,,,,,,,,,, Yeah,
,,,,,,,,,,,,,Mm hmm,
,,,,,,,,,,,,,Oh uh,
,,,,,,,,,,,,,Ah,
,,,,,,,,,,,,,Oh,
,,,,,,,,,,,,,, Yeah
,,,,,,,,,,,,,,Ah ok
,,,,,,,,,,,,,,How about you?
,,,,,,,,,,,,,,Mm hmm
,,,,,,,,,,,,,,Oh uh
,,,,,,,,,,,,,,Ah
,,,,,,,,,,,,,,Ok
,,,,,,,,,,,,,,Oh
03416&03450_S.txt,A450,B416,8,8,1,1,3,3,1,0,1,,,
,,,,,,,,,,,, Why?,,
,,,,,,,,,,,,,, Why?
03417&03355_S.txt,A355,B417,7,7,1,1,3,3,1,0,1,,,
,,,,,,,,,,,, Uh,,
,,,,,,,,,,,,,, Uh
03438&03542_S.txt,A542,B438,5,5,1,1,3,3,0,2,2,,,
,,,,,,,,,,,,, Uh yeah,
,,,,,,,,,,,,,Yes,
,,,,,,,,,,,,,, Uh yeah
,,,,,,,,,,,,,,Yes
03486&03054_S.txt,A054,B486,5,5,1,1,4,4,0,0,0,,,
03534&03399_S.txt,A399,B534,8,7,1,1,3,3,0,0,0,,,
03543&03560_S.txt,A543,B560,5,6,1,1,3,3,0,1,1,,,
,,,,,,,,,,,,, Thank you,
,,,,,,,,,,,,,, Thank you
03577&03580_S.txt,A577,B580,10,9,1,1,3,3,5,3,8,,,
,,,,,,,,,,,, Yeah let's talk about uh uh this kind of situation yeah,,
,,,,,,,,,,,,Yeah,,
,,,,,,,,,,,,Okay,,
,,,,,,,,,,,,Oh,,
,,,,,,,,,,,,Student B,,
,,,,,,,,,,,,, Hmm,
,,,,,,,,,,,,,In bridge uh A,
,,,,,,,,,,,,,What about you?,
,,,,,,,,,,,,,, Yeah let's talk about uh uh this kind of situation yeah
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,Hmm
,,,,,,,,,,,,,,What about you?
,,,,,,,,,,,,,,Okay
,,,,,,,,,,,,,,In bridge uh A
,,,,,,,,,,,,,,Oh
,,,,,,,,,,,,,,Student B
03586&03404_S.txt,A586,B404,7,7,1,1,3,3,0,2,2,,,
,,,,,,,,,,,,, Yeah,
,,,,,,,,,,,,,Uh,
,,,,,,,,,,,,,, Yeah
,,,,,,,,,,,,,,Uh
04013&04423_B.txt,A423,B013,11,7,1,1,4,4,1,3,4,,,
,,,,,,,,,,,, Thank you,,
,,,,,,,,,,,,, Yeah,
,,,,,,,,,,,,,Thank you very much,
,,,,,,,,,,,,,You know?,
,,,,,,,,,,,,,, Thank you
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,Thank you very much
,,,,,,,,,,,,,,You know?
04014&04172_A.txt,A172,B014,6,6,1,1,4,4,3,1,4,,,
,,,,,,,,,,,, Listening and speaking level 3 section A task three point-or 2,,
,,,,,,,,,,,,3,,
,,,,,,,,,,,,Ok thank you,,
,,,,,,,,,,,,, Thank you,
,,,,,,,,,,,,,, Thank you
,,,,,,,,,,,,,,Listening and speaking level 3 section A task three point-or 2
,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,Ok thank you
04034&04307_C.txt,A307,B034,9,12,1,1,2,2,1,2,2,,,
,,,,,,,,,,,, Suggest,,
,,,,,,,,,,,,, Yeah,
,,,,,,,,,,,,,Suggest,
,,,,,,,,,,,,,, Yeah
,,,,,,,,,,,,,,Suggest
04036&04269_B.txt,A036,B269,10,15,1,1,4,4,1,3,4,,,
,,,,,,,,,,,, And uh and uh the second uh go the uh in in her group,,
,,,,,,,,,,,,, Ok,
,,,,,,,,,,,,,Thank you,
,,,,,,,,,,,,,Good,
,,,,,,,,,,,,,, Ok
,,,,,,,,,,,,,,Thank you
,,,,,,,,,,,,,,And uh and uh the second uh go the uh in in her group
,,,,,,,,,,,,,,Good
04039&04073_B.txt,A073,B039,17,16,1,1,4,4,7,2,8,,,
,,,,,,,,,,,, Thanks B,,
,,,,,,,,,,,,Yeah,,
,,,,,,,,,,,,Yeah,,
,,,,,,,,,,,,improve his accent,,
,,,,,,,,,,,,Yeah agree with do do not worried about that,,
,,,,,,,,,,,,Yeah, absolutely,,
,,,,,,,,,,,,Just uh in self-conscious uh with his uh accent,,
,,,,,,,,,,,,, Yeah,
,,,,,,,,,,,,,Yeah but the time everything every,
,,,,,,,,,,,,,, Thanks B
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,improve his accent
,,,,,,,,,,,,,,Yeah but the time everything every
,,,,,,,,,,,,,,Yeah agree with do do not worried about that
,,,,,,,,,,,,,,Yeah, absolutely
,,,,,,,,,,,,,,Just uh in self-conscious uh with his uh accent
04050&04505_A.txt,A505,B050,11,14,1,1,4,4,3,1,4,,,
,,,,,,,,,,,, Oh, yeah really?,,
,,,,,,,,,,,,This is…,,
,,,,,,,,,,,,Thank you so much,,
,,,,,,,,,,,,, You're welcome,
,,,,,,,,,,,,,, You're welcome
,,,,,,,,,,,,,,Oh, yeah really?
,,,,,,,,,,,,,,This is…
,,,,,,,,,,,,,,Thank you so much
04051&04330_B.txt,A051,B330,21,15,1,1,3,4,6,8,14,,,
,,,,,,,,,,,, Thanks B,,
,,,,,,,,,,,,Uh huh, uh he he afraid about his accent,,
,,,,,,,,,,,,Thank-,,
,,,,,,,,,,,,Ok, hi B,,
,,,,,,,,,,,,Uh huh yeah,,
,,,,,,,,,,,,His accent,,
,,,,,,,,,,,,, Welcome,
,,,,,,,,,,,,,Yeah,
,,,,,,,,,,,,,Hi A,
,,,,,,,,,,,,,Uh,
,,,,,,,,,,,,,Uh,,, m- m- m,
,,,,,,,,,,,,,Thank you so much,
,,,,,,,,,,,,,About you?,
,,,,,,,,,,,,,Good,
,,,,,,,,,,,,,, Thanks B
,,,,,,,,,,,,,,Welcome
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,Thank-
,,,,,,,,,,,,,,Ok, hi B
,,,,,,,,,,,,,,Hi A
,,,,,,,,,,,,,,Uh
,,,,,,,,,,,,,,Uh,,, m- m- m
,,,,,,,,,,,,,,Thank you so much
,,,,,,,,,,,,,,His accent
,,,,,,,,,,,,,,About you?
,,,,,,,,,,,,,,Uh huh yeah
,,,,,,,,,,,,,,Uh huh, uh he he afraid about his accent
,,,,,,,,,,,,,,Good
04063&04327_C.txt,A327,B063,11,8,1,1,3,3,2,3,5,,,
,,,,,,,,,,,, Thank you so much my friend,,
,,,,,,,,,,,,Yeah okay,,
,,,,,,,,,,,,, Thank you,
,,,,,,,,,,,,,What about you?,
,,,,,,,,,,,,,Uh he can't sp-uh he can't speak very fast uh maybe his uh teacher in uh in university uh his can't uh understart-understand him,
,,,,,,,,,,,,,, Thank you
,,,,,,,,,,,,,,Uh he can't sp-uh he can't speak very fast uh maybe his uh teacher in uh in university uh his can't uh understart-understand him
,,,,,,,,,,,,,,Thank you so much my friend
,,,,,,,,,,,,,,Yeah okay
,,,,,,,,,,,,,,What about you?
04067&04095_A.txt,A095,B067,7,5,1,1,3,4,0,0,0,,,
04075&04021_A.txt,A021,B075,12,14,1,1,4,4,2,7,9,,,
,,,,,,,,,,,, Yeah,,
,,,,,,,,,,,,Yeah thanks thanks a lot,,
,,,,,,,,,,,,, Uh talk with the native speakers,
,,,,,,,,,,,,,3,
,,,,,,,,,,,,,And uh… uh read a lot and,
,,,,,,,,,,,,,NTA B level-uh listening and speaking level 3A task 2,
,,,,,,,,,,,,,Yeah exactly,
,,,,,,,,,,,,,Practice,
,,,,,,,,,,,,,You're welcome,
,,,,,,,,,,,,,, Yeah
,,,,,,,,,,,,,,Uh talk with the native speakers
,,,,,,,,,,,,,,Yeah thanks thanks a lot
,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,And uh… uh read a lot and
,,,,,,,,,,,,,,NTA B level-uh listening and speaking level 3A task 2
,,,,,,,,,,,,,,Yeah exactly
,,,,,,,,,,,,,,Practice
,,,,,,,,,,,,,,You're welcome
04082&04061_B.txt,A061,B082,15,12,1,1,4,4,6,2,8,,,
,,,,,,,,,,,, Yeah,,
,,,,,,,,,,,,Yeah,,
,,,,,,,,,,,,Uh yeah,,
,,,,,,,,,,,,See you,,
,,,,,,,,,,,,Good luck Chen,,
,,,,,,,,,,,,S,,
,,,,,,,,,,,,, Really?,
,,,,,,,,,,,,,Good luck in the university,
,,,,,,,,,,,,,, Yeah
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,Uh yeah
,,,,,,,,,,,,,,Good luck in the university
,,,,,,,,,,,,,,See you
,,,,,,,,,,,,,,Good luck Chen
,,,,,,,,,,,,,,Really?
,,,,,,,,,,,,,,S
04092&04260_B.txt,A092,B260,14,9,1,1,4,4,4,2,6,,,
,,,,,,,,,,,, Ok,,
,,,,,,,,,,,,Uh,,
,,,,,,,,,,,,Yeah,,
,,,,,,,,,,,,Thank you so much,,
,,,,,,,,,,,,, Uh,
,,,,,,,,,,,,,Ok thank you,
